"","spp","time","POT19freq_year","POT19dur_year","lowQ05_year","highQ95_year"
"1","Chinook",1985-07-02,7.37276939459851,2.18030811171126,17.9134164854087,18.2666655338046
"2","Chinook",2055-07-02,23.0983539514229,5.91705248788506,14.8838521841581,21.0460644371941
"3","Chum",1985-07-02,5.6220753793441,1.91876474855728,18.2197258932942,18.2666666666667
"4","Chum",2055-07-02,23.8630200685267,8.45277904634524,23.798800783162,14.0351321585903
"5","Coho",1985-07-02,6.88874590980225,2.04664560977285,18.0206864418836,18.2666645326504
"6","Coho",2055-07-02,22.6506700810926,6.07281504979292,14.4832863849765,20.7800433916631
"7","Pink",1985-07-02,7.47574517825833,2.20672994346296,17.9939752581336,18.2666642314436
"8","Pink",2055-07-02,24.0106711474771,6.44789403538546,14.528775407494,21.2291902071563
"9","Sockeye",1985-07-02,17.2461527035056,7.47393917620967,18.2666666666667,18.2666666666667
"10","Sockeye",2055-07-02,46.8414884135472,19.4812210532178,9.44802436125966,18.1328134284017
